City1,City2,Month,Passenger_Trips,Aircraft_Trips,Passenger_Load_Factor,Distance_GC_(km),RPKs,ASKs,Seats,Year,Month_num,IATA1,IATA2,City1_Lat,City1_Lon,City2_Lat,City2_Lon
ADELAIDE,ALICE SPRINGS,1/01/1984,15743,143,81.8,1316,20717788,25327369,19246,1984,1,ADL,ASP,-34.945,138.530502,-23.806601,133.902206
ADELAIDE,BRISBANE,1/01/1984,3781,32,89.8,1622,6132782,6829379,4210,1984,1,ADL,BNE,-34.945,138.530502,-27.3841,153.117493
ADELAIDE,CANBERRA,1/01/1984,1339,12,94.7,972,1301508,1374348,1414,1984,1,ADL,CBR,-34.945,138.530502,-35.3069,149.195007
ADELAIDE,DARWIN,1/01/1984,3050,33,66.8,2619,7987950,11958009,4566,1984,1,ADL,DRW,-34.945,138.530502,-12.4147,130.876663
ADELAIDE,GOLD COAST,1/01/1984,1596,16,88.5,1607,2564772,2898047,1803,1984,1,ADL,OOL,-34.945,138.530502,-28.156067,153.502426
ADELAIDE,MELBOURNE,1/01/1984,50817,711,66.3,643,32675331,49284059,76647,1984,1,ADL,MEL,-34.945,138.530502,-37.673302,144.843307
ADELAIDE,PERTH,1/01/1984,18670,144,85.1,2120,39580400,46510458,21939,1984,1,ADL,PER,-34.945,138.530502,-31.940201,115.966904
ADELAIDE,SYDNEY,1/01/1984,37401,358,80.8,1167,43646967,54018524,46288,1984,1,ADL,SYD,-34.945,138.530502,-33.946098,151.1772
ALBURY,SYDNEY,1/01/1984,11478,296,79.8,452,5188056,6501323,14383,1984,1,ABX,SYD,-36.067699,146.957993,-33.946098,151.1772
ALICE SPRINGS,DARWIN,1/01/1984,9035,89,71.2,1305,11790675,16559937,12690,1984,1,ASP,DRW,-23.806601,133.902206,-12.4147,130.876663
ALICE SPRINGS,SYDNEY,1/01/1984,2896,31,75.8,2022,5855712,7725214,3821,1984,1,ASP,SYD,-23.806601,133.902206,-33.946098,151.1772
BRISBANE,CAIRNS,1/01/1984,1397,31,71.9,1391,1943227,2702680,1943,1984,1,BNE,CNS,-27.3841,153.117493,-16.885799,145.755203
BRISBANE,CANBERRA,1/01/1984,593,8,72.7,956,566908,779791,816,1984,1,BNE,CBR,-27.3841,153.117493,-35.3069,149.195007
BRISBANE,DARWIN,1/01/1984,2627,22,80.7,2852,7492204,9284020,3255,1984,1,BNE,DRW,-27.3841,153.117493,-12.4147,130.876663
BRISBANE,MACKAY,1/01/1984,192,15,48.2,797,153024,317477,398,1984,1,BNE,MKY,-27.3841,153.117493,-21.1716,149.179703
BRISBANE,MELBOURNE,1/01/1984,31791,324,84.4,1381,43903371,52018212,37667,1984,1,BNE,MEL,-27.3841,153.117493,-37.673302,144.843307
BRISBANE,PERTH,1/01/1984,566,4,88.2,3615,2046090,2319830,642,1984,1,BNE,PER,-27.3841,153.117493,-31.940201,115.966904
BRISBANE,PROSERPINE,1/01/1984,7432,92,76.1,895,6651640,8740657,9766,1984,1,BNE,PPP,-27.3841,153.117493,-20.495001,148.5522
BRISBANE,ROCKHAMPTON,1/01/1984,21633,287,77.2,518,11205894,14515407,28022,1984,1,BNE,ROK,-27.3841,153.117493,-23.381901,150.475204
BRISBANE,SYDNEY,1/01/1984,95027,990,73.7,753,71555331,97090001,128938,1984,1,BNE,SYD,-27.3841,153.117493,-33.946098,151.1772
