Year,Australian,Airline,InFlights,OutFlights,InSeats,OutSeats,Total Flights
2003,Adelaide,Cathay Pacific Airways,8,8,2008,2008,16.00
2003,Adelaide,Garuda Indonesia,13,13,3809,3809,26.00
2003,Adelaide,Malaysia Airlines,17,17,4726,4726,34.00
2003,Adelaide,Qantas Airways,13,13,2946,2953,26.00
2003,Adelaide,Singapore Airlines,12,12,3876,3876,24.00
2003,Brisbane,Air Caledonie,7,7,1027,1027,14.00
2003,Brisbane,Air New Zealand,47,47,14118,14165,94.00
2003,Brisbane,Air Niugini,25,25,5750,5750,50.00
2003,Brisbane,Fiji Airways,30,30,4478,4478,60.00
2003,Brisbane,Air Vanuatu,13,13,1638,1638,26.00
2003,Brisbane,Cathay Pacific Airways,20,20,6220,6220,40.00
2003,Brisbane,China Airlines,5,5,1380,1380,10.00
2003,Brisbane,Eva Air,9,9,2034,2034,18.00
2003,Brisbane,Freedom Air International,122,122,16720,17326,244.00
2003,Brisbane,Garuda Indonesia,21,21,6057,6057,42.00
2003,Brisbane,Japan Airlines,60,60,27060,26882,120.00
2003,Brisbane,Korean Air,8,8,2094,2094,16.00
2003,Brisbane,Malaysia Airlines,39,39,13170,13170,78.00
2003,Brisbane,Nauru Airlines,9,8,990,880,17.00
2003,Brisbane,Qantas Airways,98,98,30749,30873,196.00
2003,Brisbane,Royal Brunei Airlines,18,18,3564,3564,36.00
2003,Brisbane,Singapore Airlines,60,60,19380,19380,120.00
2003,Brisbane,Solomon Airlines,9,9,1224,1224,18.00
2003,Brisbane,Thai Airways International,26,26,7410,7410,52.00
2003,Cairns,Air New Zealand,9,9,3040,3042,18.00
2003,Cairns,Air Niugini,47,47,3414,3398,94.00
2003,Cairns,Australian Airlines,84,84,22606,22638,168.00
2003,Cairns,Cathay Pacific Airways,16,16,4976,4976,32.00
2003,Cairns,Continental Micronesia,13,13,2002,2002,26.00
2003,Cairns,Qantas Airways,30,31,13006,13428,61.00
2003,Christmas Island,Merpati Nusantara Airlines,4,4,400,400,8.00
2003,Darwin,Garuda Indonesia,8,8,1072,1072,16.00
2003,Darwin,Qantas Airways,21,23,4041,4497,44.00
2003,Darwin,Royal Brunei Airlines,8,8,1204,1204,16.00
2003,Gold Coast,Air New Zealand,1,0,136,0,1.00
2003,Gold Coast,Australian Airlines,28,18,7588,4878,46.00
2003,Gold Coast,Freedom Air International,59,59,8287,8372,118.00
2003,Melbourne,Air China,14,14,4214,4214,28.00
2003,Melbourne,Air Mauritius,5,5,1470,1470,10.00
2003,Melbourne,Air New Zealand,119,119,19817,19840,238.00
2003,Melbourne,Fiji Airways,17,17,5056,5056,34.00
2003,Melbourne,Air Paradise International,17,17,4441,4441,34.00
2003,Melbourne,Australian Airlines,4,4,1084,1084,8.00
2003,Melbourne,British Airways,27,27,9477,9477,54.00
2003,Melbourne,Cathay Pacific Airways,38,38,9530,9530,76.00
2003,Melbourne,China Southern Airlines,9,9,2583,2583,18.00
2003,Melbourne,Emirates,59,59,21650,21650,118.00
2003,Melbourne,Freedom Air International,16,16,2140,2272,32.00
2003,Melbourne,Garuda Indonesia,18,18,5274,5274,36.00
2003,Melbourne,Lauda Air,8,8,2752,2752,16.00
2003,Melbourne,Malaysia Airlines,60,60,16680,16680,120.00
2003,Melbourne,Nauru Airlines,4,4,440,440,8.00
2003,Melbourne,Philippine Airlines,12,12,3624,3624,24.00
2003,Melbourne,Qantas Airways,259,250,72805,67101,509.00
2003,Melbourne,Singapore Airlines,60,60,21242,21242,120.00
2003,Melbourne,Thai Airways International,49,49,14158,14158,98.00
2003,Melbourne,United Airlines,30,30,10410,10410,60.00
2003,Melbourne,Vietnam Airlines,9,9,2310,2310,18.00
2003,Norfolk Island,Air New Zealand,8,8,912,912,16.00
2003,Perth,Air Mauritius,5,5,1470,1470,10.00
2003,Perth,Air New Zealand,17,17,3910,3926,34.00
2003,Perth,Air Paradise International,21,21,3843,3843,42.00
2003,Perth,Cathay Pacific Airways,13,13,4043,4043,26.00
2003,Perth,Emirates,30,30,9000,9000,60.00
2003,Perth,Garuda Indonesia,30,30,4027,4027,60.00
2003,Perth,Malaysia Airlines,47,47,13338,13338,94.00
2003,Perth,Qantas Airways,89,89,23393,23090,178.00
2003,Perth,Royal Brunei Airlines,13,12,2574,2376,25.00
2003,Perth,Singapore Airlines,60,60,19398,19398,120.00
2003,Perth,South African Airways,21,21,6150,6150,42.00
2003,Perth,Thai Airways International,17,16,5185,4880,33.00
2003,Sydney,Aerolineas Argentinas,8,8,1976,1976,16.00
2003,Sydney,Air Caledonie,17,17,3157,3157,34.00
2003,Sydney,Air Canada,30,30,8455,8440,60.00
2003,Sydney,Air China,26,26,7826,7826,52.00
2003,Sydney,Air New Zealand,261,261,37483,37499,522.00
2003,Sydney,Air Niugini,8,9,1840,2070,17.00
2003,Sydney,Fiji Airways,39,39,15126,15126,78.00
2003,Sydney,Air Paradise International,17,17,4441,4441,34.00
2003,Sydney,Air Vanuatu,23,23,2878,2878,46.00
2003,Sydney,Asiana Airlines,30,30,9300,9300,60.00
2003,Sydney,Australian Airlines,47,47,12735,12731,94.00
2003,Sydney,British Airways,60,60,22160,22160,120.00
2003,Sydney,Cathay Pacific Airways,59,59,16271,16271,118.00
2003,Sydney,China Airlines,17,17,4692,4692,34.00
2003,Sydney,China Eastern Airlines,17,17,4879,4879,34.00
2003,Sydney,China Southern Airlines,13,13,3731,3731,26.00
2003,Sydney,Emirates,60,60,22800,22800,120.00
2003,Sydney,Eva Air,9,9,1944,1944,18.00
2003,Sydney,Freedom Air International,23,22,3122,3124,45.00
2003,Sydney,Garuda Indonesia,17,17,4981,4981,34.00
2003,Sydney,Japan Airlines,60,60,27048,26870,120.00
2003,Sydney,Korean Air,30,30,11474,11474,60.00
2003,Sydney,LATAM Airlines,13,13,3367,3367,26.00
2003,Sydney,Lauda Air,22,22,7568,7568,44.00
2003,Sydney,Malaysia Airlines,47,47,16306,16306,94.00
2003,Sydney,Philippine Airlines,12,12,3624,3624,24.00
2003,Sydney,Polynesian Airlines,9,8,1386,1232,17.00
2003,Sydney,Qantas Airways,686,667,194322,186665,1353.00
2003,Sydney,Royal Tongan Airlines,9,9,1665,1665,18.00
2003,Sydney,Singapore Airlines,90,90,32379,32379,180.00
2003,Sydney,Thai Airways International,89,88,32638,32353,177.00
2003,Sydney,United Airlines,60,60,20820,20820,120.00
2003,Sydney,Vietnam Airlines,12,12,3072,3072,24.00
2003,Adelaide,Cathay Pacific Airways,9,9,2259,2259,18.00
2003,Adelaide,Garuda Indonesia,9,9,2637,2637,18.00
2003,Adelaide,Malaysia Airlines,18,17,4968,4694,35.00
2003,Adelaide,Qantas Airways,13,14,2951,3178,27.00
2003,Adelaide,Singapore Airlines,18,17,5814,5491,35.00
2003,Brisbane,Air Caledonie,8,8,1153,1153,16.00
2003,Brisbane,Air New Zealand,47,48,14162,14324,95.00
2003,Brisbane,Air Niugini,22,23,5060,5290,45.00
2003,Brisbane,Fiji Airways,31,31,5138,5138,62.00
2003,Brisbane,Air Vanuatu,13,14,1651,1790,27.00
2003,Brisbane,Cathay Pacific Airways,21,21,6531,6531,42.00
2003,Brisbane,China Airlines,9,9,2385,2385,18.00
2003,Brisbane,Emirates,62,62,22824,22824,124.00
2003,Brisbane,Eva Air,13,13,2938,2938,26.00
2003,Brisbane,Freedom Air International,107,107,14059,14574,214.00
2003,Brisbane,Garuda Indonesia,23,23,6739,6739,46.00
2003,Brisbane,Japan Airlines,63,62,28498,27825,125.00
2003,Brisbane,Korean Air,10,10,3830,3830,20.00
2003,Brisbane,Malaysia Airlines,40,40,13448,13448,80.00
2003,Brisbane,Nauru Airlines,9,8,990,880,17.00
2003,Brisbane,Qantas Airways,152,147,45001,43248,299.00
2003,Brisbane,Royal Brunei Airlines,35,34,6930,6732,69.00
2003,Brisbane,Singapore Airlines,67,67,21641,21641,134.00
2003,Brisbane,Solomon Airlines,11,11,1496,1500,22.00
2003,Brisbane,Thai Airways International,28,28,7980,7980,56.00
2003,Cairns,Air New Zealand,9,9,2070,2070,18.00
2003,Cairns,Air Niugini,45,46,3318,3392,91.00
2003,Cairns,Australian Airlines,100,102,26911,27417,202.00
2003,Cairns,Cathay Pacific Airways,17,17,5287,5287,34.00
2003,Cairns,Continental Micronesia,13,13,2002,2002,26.00
2003,Cairns,Qantas Airways,63,64,14422,14647,127.00
2003,Christmas Island,Merpati Nusantara Airlines,4,4,400,400,8.00
2003,Darwin,Garuda Indonesia,8,8,1072,1072,16.00
2003,Darwin,Qantas Airways,21,24,4097,4845,45.00
2003,Darwin,Royal Brunei Airlines,15,14,1978,1834,29.00
2003,Gold Coast,Australian Airlines,31,31,8353,8355,62.00
2003,Gold Coast,Freedom Air International,42,42,5640,5760,84.00
