Year,Australian,International,InFlightsExc,InFlightsAll,OutFlightsExc,OutFlightsAll,InSeatsMin,InSeatsMax,OutSeatsMin,OutSeatsMax,Lat  Aus,Lon Aus,Lat International,Lon International
2003,Adelaide,Denpasar,0,13,0,13,0,3809,0,3809,-34.9287,138.5986,-8.6500,115.2167
2003,Adelaide,Hong Kong,0,8,0,8,0,2008,0,2008,-34.9287,138.5986,22.3193,114.1694
2003,Adelaide,Kuala Lumpur,17,17,17,17,4726,4726,4726,4726,-34.9287,138.5986,3.1390,101.6869
2003,Adelaide,Singapore,12,25,12,25,3876,6822,3876,6829,-34.9287,138.5986,1.3521,103.8198
2003,Brisbane,Auckland,54,119,54,118,15180,39454,15225,39113,-27.4679,153.0281,-36.8485,174.7633
2003,Brisbane,Bandar Seri Begawan,18,18,18,18,3564,3564,3564,3564,-27.4679,153.0281,4.9031,114.9394
2003,Brisbane,Bangkok,0,13,0,13,0,3705,0,3705,-27.4679,153.0281,13.7563,100.5018
2003,Brisbane,Christchurch,50,50,50,50,7794,7794,7797,7797,-27.4679,153.0281,-43.5321,172.6362
2003,Brisbane,Denpasar,5,13,5,13,1465,3761,1465,3761,-27.4679,153.0281,-8.6500,115.2167
2003,Brisbane,Dunedin,13,13,13,13,1778,1778,1847,1847,-27.4679,153.0281,-45.8788,170.5028
2003,Brisbane,Hamilton,20,20,20,20,2714,2714,2840,2840,-27.4679,153.0281,-37.7833,175.2833
2003,Brisbane,Hong Kong,4,20,4,20,1244,6220,1244,6220,-27.4679,153.0281,22.3193,114.1694
2003,Brisbane,Honiara,9,9,9,9,1224,1224,1224,1224,-27.4679,153.0281,-9.4456,159.9729
2003,Brisbane,Kuala Lumpur,12,25,12,26,2748,7766,2748,8152,-27.4679,153.0281,3.1390,101.6869
2003,Brisbane,Los Angeles,0,30,0,30,0,12869,0,12869,-27.4679,153.0281,34.0522,-118.2437
2003,Brisbane,Manila,0,4,0,4,0,908,0,908,-27.4679,153.0281,14.5995,120.9842
2003,Brisbane,Nadi,30,30,30,30,4478,4478,4478,4478,-27.4679,153.0281,-17.7768,177.4350
2003,Brisbane,Nauru,5,9,4,8,550,990,440,880,-27.4679,153.0281,-0.5228,166.9315
2003,Brisbane,Noumea,11,11,11,11,1587,1587,1587,1587,-27.4679,153.0281,-22.2558,166.4505
2003,Brisbane,Osaka,0,30,0,30,0,14326,0,14148,-27.4679,153.0281,34.6937,135.5023
2003,Brisbane,Palmerston,17,17,17,17,2279,2279,2414,2414,-27.4679,153.0281,-40.3552,175.6110
2003,Brisbane,Port Moresby,17,25,16,25,3910,5750,3680,5750,-27.4679,153.0281,-9.4438,147.1803
2003,Brisbane,Port Vila,13,13,13,13,1638,1638,1638,1638,-27.4679,153.0281,-17.7333,168.3167
2003,Brisbane,Queenstown,7,7,7,7,790,790,914,914,-27.4679,153.0281,-45.0312,168.6626
2003,Brisbane,Rome,0,0,0,2,0,0,0,844,-27.4679,153.0281,41.9028,12.4964
2003,Brisbane,Seoul,8,8,8,8,2094,2094,2094,2094,-27.4679,153.0281,37.5665,126.9780
2003,Brisbane,Singapore,82,90,80,90,28664,31260,27820,31260,-27.4679,153.0281,1.3521,103.8198
2003,Brisbane,Taipei,14,14,14,14,3414,3414,3414,3414,-27.4679,153.0281,25.0330,121.5654
2003,Brisbane,Tokyo,30,30,30,30,12734,12734,12734,12734,-27.4679,153.0281,35.6895,139.6917
2003,Brisbane,Wellington,38,38,38,38,4835,4835,5110,5110,-27.4679,153.0281,-41.2865,174.7762
2003,Cairns,Auckland,9,9,9,9,3040,3040,3042,3042,-16.9186,145.7661,-36.8485,174.7633
2003,Cairns,Fukuoka,3,13,13,13,771,3481,3481,3481,-16.9186,145.7661,33.5904,130.4017
2003,Cairns,Guam,13,13,13,14,2002,2002,2002,2452,-16.9186,145.7661,13.4443,144.7937
2003,Cairns,Hong Kong,8,24,8,24,2136,7112,2168,7144,-16.9186,145.7661,22.3193,114.1694
2003,Cairns,Kota Kinabalu,0,4,0,4,0,1084,0,1084,-16.9186,145.7661,5.9804,116.0735
2003,Cairns,Nagoya,4,30,4,30,1084,8130,1084,8130,-16.9186,145.7661,35.1815,136.9066
2003,Cairns,Osaka,2,30,2,20,458,8046,458,5336,-16.9186,145.7661,34.6937,135.5023
2003,Cairns,Port Moresby,47,47,47,47,3414,3414,3398,3398,-16.9186,145.7661,-9.4438,147.1803
2003,Cairns,Singapore,9,13,9,13,2439,3523,2439,3523,-16.9186,145.7661,1.3521,103.8198
2003,Cairns,Tokyo,10,30,9,31,4360,13006,3910,13428,-16.9186,145.7661,35.6895,139.6917
2003,Christmas Island,Jakarta,4,4,4,4,400,400,400,400,-10.4475,105.6904,-6.2088,106.8456
2003,Darwin,Bandar Seri Begawan,8,8,8,8,1204,1204,1204,1204,-12.4611,130.8419,4.9031,114.9394
2003,Darwin,Denpasar,16,16,16,16,2162,2162,2162,2162,-12.4611,130.8419,-8.6500,115.2167
2003,Darwin,Hong Kong,0,0,0,2,0,0,0,454,-12.4611,130.8419,22.3193,114.1694
2003,Darwin,Singapore,0,13,0,13,0,2951,0,2953,-12.4611,130.8419,1.3521,103.8198
2003,Gold Coast,Auckland,31,31,30,30,4391,4391,4254,4254,-28.0003,153.4309,-36.8485,174.7633
2003,Gold Coast,Christchurch,13,13,13,13,1846,1846,1846,1846,-28.0003,153.4309,-43.5321,172.6362
2003,Gold Coast,Dunedin,8,8,8,8,1088,1088,1136,1136,-28.0003,153.4309,-45.8788,170.5028
2003,Gold Coast,Fukuoka,0,10,0,0,0,2710,0,0,-28.0003,153.4309,33.5904,130.4017
2003,Gold Coast,Hamilton,8,8,8,8,1098,1098,1136,1136,-28.0003,153.4309,-37.7833,175.2833
2003,Gold Coast,Osaka,0,28,0,18,0,7588,0,4878,-28.0003,153.4309,34.6937,135.5023
2003,Melbourne,Auckland,119,148,118,148,26644,37279,26420,37284,-37.8140,144.9633,-36.8485,174.7633
2003,Melbourne,Bangkok,20,78,20,50,5700,25466,5700,14552,-37.8140,144.9633,13.7563,100.5018
2003,Melbourne,Beijing,0,14,0,14,0,4214,0,4214,-37.8140,144.9633,39.9042,116.4074
2003,Melbourne,Chicago,0,30,0,30,0,10410,0,10410,-37.8140,144.9633,41.8781,-87.6298
2003,Melbourne,Christchurch,55,55,56,57,7580,7580,7756,7985,-37.8140,144.9633,-43.5321,172.6362
2003,Melbourne,Denpasar,0,39,0,39,0,10799,0,10799,-37.8140,144.9633,-8.6500,115.2167
2003,Melbourne,Dubai,0,30,0,30,0,11015,0,11015,-37.8140,144.9633,25.2048,55.2708
2003,Melbourne,Dunedin,4,4,4,4,552,552,568,568,-37.8140,144.9633,-45.8788,170.5028
2003,Melbourne,Frankfurt,0,0,0,1,0,0,0,432,-37.8140,144.9633,50.1109,8.6821
2003,Melbourne,Guangzhou,0,18,0,18,0,5292,0,5292,-37.8140,144.9633,23.1291,113.2644
2003,Melbourne,Hamilton,8,8,9,9,1068,1068,1278,1278,-37.8140,144.9633,-37.7833,175.2833
2003,Melbourne,Hanoi,0,9,0,9,0,2310,0,2310,-37.8140,144.9633,21.0278,105.8342
2003,Melbourne,Ho Chi Minh City,0,9,0,9,0,2310,0,2310,-37.8140,144.9633,10.8231,106.6297
2003,Melbourne,Hong Kong,43,73,42,73,10473,17642,10246,17640,-37.8140,144.9633,22.3193,114.1694
2003,Melbourne,Honolulu,0,0,0,11,0,0,0,2664,-37.8140,144.9633,21.3069,-157.8583
2003,Melbourne,Kuala Lumpur,43,68,43,68,11954,19432,11954,19432,-37.8140,144.9633,3.1390,101.6869
2003,Melbourne,London,0,82,0,58,0,30956,0,21690,-37.8140,144.9633,51.5074,-0.1278
2003,Melbourne,Los Angeles,29,60,30,60,10377,21145,10740,21150,-37.8140,144.9633,34.0522,-118.2437
2003,Melbourne,Manila,0,12,0,13,0,3624,0,3853,-37.8140,144.9633,14.5995,120.9842
2003,Melbourne,Mauritius,0,5,0,5,0,1470,0,1470,-37.8140,144.9633,-20.1669,57.5030
2003,Melbourne,Nadi,17,17,17,18,5056,5056,5056,5283,-37.8140,144.9633,-17.7768,177.4350
2003,Melbourne,Nauru,0,4,0,4,0,440,0,440,-37.8140,144.9633,-0.5228,166.9315
2003,Melbourne,Palmerston,4,4,3,3,520,520,426,426,-37.8140,144.9633,-40.3552,175.6110
2003,Melbourne,Shanghai,0,5,0,5,0,1505,0,1505,-37.8140,144.9633,31.2304,121.4737
2003,Melbourne,Singapore,60,147,60,153,21242,52813,21242,55122,-37.8140,144.9633,1.3521,103.8198
2003,Melbourne,Tokyo,0,29,0,29,0,11138,0,10939,-37.8140,144.9633,35.6895,139.6917
2003,Melbourne,Vienna,0,8,0,8,0,2752,0,2752,-37.8140,144.9633,48.2082,16.3738
2003,Melbourne,Wellington,51,51,51,51,6026,6026,6072,6072,-37.8140,144.9633,-41.2865,174.7762
2003,Norfolk Island,Auckland,8,8,8,8,912,912,912,912,-29.0408,167.9583,-36.8485,174.7633
2003,Perth,Auckland,17,17,17,17,3910,3910,3926,3926,-31.9522,115.8614,-36.8485,174.7633
2003,Perth,Bandar Seri Begawan,13,13,12,12,2574,2574,2376,2376,-31.9522,115.8614,4.9031,114.9394
2003,Perth,Bangkok,8,17,8,16,2440,5185,2440,4880,-31.9522,115.8614,13.7563,100.5018
2003,Perth,Denpasar,59,59,60,60,8923,8923,9052,9052,-31.9522,115.8614,-8.6500,115.2167
2003,Perth,Dubai,30,30,30,30,9000,9000,9000,9000,-31.9522,115.8614,25.2048,55.2708
2003,Perth,Hong Kong,13,13,13,13,4043,4043,4043,4043,-31.9522,115.8614,22.3193,114.1694
2003,Perth,Jakarta,7,7,7,10,1588,1588,1588,2275,-31.9522,115.8614,-6.2088,106.8456
2003,Perth,Johannesburg,21,22,21,21,6150,6582,6150,6150,-31.9522,115.8614,-26.2041,28.0473
2003,Perth,Kuala Lumpur,39,47,38,47,10986,13338,10692,13338,-31.9522,115.8614,3.1390,101.6869
2003,Perth,Kuching,0,8,0,9,0,2352,0,2646,-31.9522,115.8614,1.5533,110.3592
2003,Perth,Mauritius,0,5,0,5,0,1470,0,1470,-31.9522,115.8614,-20.1669,57.5030
2003,Perth,Paris,0,10,0,10,0,4319,0,4320,-31.9522,115.8614,48.8566,2.3522
2003,Perth,Phuket,0,9,0,8,0,2745,0,2440,-31.9522,115.8614,7.8804,98.3923
2003,Perth,Rome,0,2,0,0,0,864,0,0,-31.9522,115.8614,41.9028,12.4964
2003,Perth,Singapore,106,120,106,120,30925,36767,31533,36767,-31.9522,115.8614,1.3521,103.8198
2003,Perth,Tokyo,13,13,13,13,2951,2951,2951,2951,-31.9522,115.8614,35.6895,139.6917
2003,Sydney,Auckland,289,406,288,398,56993,95661,56754,94283,-33.8688,151.2093,-36.8485,174.7633
2003,Sydney,Bangkok,1,120,0,119,285,44292,0,44001,-33.8688,151.2093,13.7563,100.5018
2003,Sydney,Beijing,0,43,0,43,0,12705,0,12705,-33.8688,151.2093,39.9042,116.4074
2003,Sydney,Buenos Aires,0,8,0,8,0,1976,0,1976,-33.8688,151.2093,-34.6037,-58.3816
2003,Sydney,Chicago,0,30,0,30,0,10410,0,10410,-33.8688,151.2093,41.8781,-87.6298
2003,Sydney,Christchurch,150,150,149,151,25524,25524,25323,25788,-33.8688,151.2093,-43.5321,172.6362
2003,Sydney,Denpasar,12,51,12,51,3516,14029,3516,14029,-33.8688,151.2093,-8.6500,115.2167
2003,Sydney,Dubai,0,30,0,30,0,11400,0,11400,-33.8688,151.2093,25.2048,55.2708
2003,Sydney,Dunedin,4,4,4,4,548,548,568,568,-33.8688,151.2093,-45.8788,170.5028
2003,Sydney,Frankfurt,0,30,0,30,0,12959,0,12958,-33.8688,151.2093,50.1109,8.6821
2003,Sydney,Guam,0,0,0,1,0,0,0,450,-33.8688,151.2093,13.4443,144.7937
2003,Sydney,Guangzhou,4,22,4,22,1148,6440,1148,6440,-33.8688,151.2093,23.1291,113.2644
2003,Sydney,Hamilton,9,9,10,10,1236,1236,1420,1420,-33.8688,151.2093,-37.7833,175.2833
2003,Sydney,Hanoi,0,12,0,12,0,3072,0,3072,-33.8688,151.2093,21.0278,105.8342
2003,Sydney,Ho Chi Minh City,0,12,0,12,0,3072,0,3072,-33.8688,151.2093,10.8231,106.6297
2003,Sydney,Hong Kong,88,110,88,111,27170,32331,27170,32556,-33.8688,151.2093,22.3193,114.1694
2003,Sydney,Honolulu,13,43,2,43,3116,11571,454,11558,-33.8688,151.2093,21.3069,-157.8583
2003,Sydney,Jakarta,19,19,19,19,4358,4358,4358,4358,-33.8688,151.2093,-6.2088,106.8456
2003,Sydney,Johannesburg,19,20,20,20,8018,8450,7852,7852,-33.8688,151.2093,-26.2041,28.0473
2003,Sydney,Kota Kinabalu,4,4,4,4,1084,1084,1084,1084,-33.8688,151.2093,5.9804,116.0735
2003,Sydney,Kuala Lumpur,30,69,30,69,11580,23874,11580,23874,-33.8688,151.2093,3.1390,101.6869
2003,Sydney,London,0,129,0,109,0,49222,0,41354,-33.8688,151.2093,51.5074,-0.1278
2003,Sydney,Los Angeles,54,116,52,116,19376,41556,18759,41517,-33.8688,151.2093,34.0522,-118.2437
2003,Sydney,Manila,13,29,12,29,2986,7516,2762,7523,-33.8688,151.2093,14.5995,120.9842
2003,Sydney,Nadi,30,30,30,34,13740,13740,13740,15077,-33.8688,151.2093,-17.7768,177.4350
2003,Sydney,Nagoya,0,26,0,26,0,7044,0,7040,-33.8688,151.2093,35.1815,136.9066
2003,Sydney,New York,0,42,0,42,0,14693,0,14742,-33.8688,151.2093,40.7128,-74.0060
2003,Sydney,Niue,0,5,0,0,0,770,0,0,-33.8688,151.2093,-19.0544,-169.8672
2003,Sydney,Noumea,30,30,29,29,5308,5308,5164,5164,-33.8688,151.2093,-22.2558,166.4505
2003,Sydney,Osaka,0,30,0,30,0,14326,0,14148,-33.8688,151.2093,34.6937,135.5023
2003,Sydney,Palmerston,10,10,8,8,1338,1338,1136,1136,-33.8688,151.2093,-40.3552,175.6110
2003,Sydney,Paris,0,0,0,1,0,0,0,432,-33.8688,151.2093,48.8566,2.3522
2003,Sydney,Port Moresby,0,8,0,9,0,1840,0,2070,-33.8688,151.2093,-9.4438,147.1803
2003,Sydney,Port Vila,23,23,23,23,2878,2878,2878,2878,-33.8688,151.2093,-17.7333,168.3167
2003,Sydney,Queenstown,12,12,12,12,1354,1354,1454,1454,-33.8688,151.2093,-45.0312,168.6626
2003,Sydney,Rome,0,0,0,2,0,0,0,816,-33.8688,151.2093,41.9028,12.4964
2003,Sydney,San Francisco,0,30,0,30,0,10410,0,10410,-33.8688,151.2093,37.7749,-122.4194
2003,Sydney,Santiago,0,13,0,13,0,3367,0,3367,-33.8688,151.2093,-33.4489,-70.6693
2003,Sydney,Seoul,60,60,60,60,20774,20774,20774,20774,-33.8688,151.2093,37.5665,126.9780
2003,Sydney,Shanghai,0,34,0,34,0,9996,0,9996,-33.8688,151.2093,31.2304,121.4737
2003,Sydney,Singapore,90,251,90,231,32379,91378,32379,83727,-33.8688,151.2093,1.3521,103.8198
2003,Sydney,Suva,9,9,9,9,1386,1386,1386,1386,-33.8688,151.2093,-18.1248,178.4501
2003,Sydney,Taipei,26,26,26,26,6636,6636,6636,6636,-33.8688,151.2093,25.0330,121.5654
2003,Sydney,Tokyo,31,80,31,81,13116,33148,13116,33598,-33.8688,151.2093,35.6895,139.6917
2003,Sydney,Vancouver,0,30,0,30,0,8455,0,8440,-33.8688,151.2093,49.2827,-123.1207
2003,Sydney,Vienna,0,22,0,22,0,7568,0,7568,-33.8688,151.2093,48.2082,16.3738
2003,Sydney,Wellington,109,109,109,110,13020,13020,13008,13237,-33.8688,151.2093,-41.2865,174.7762
2003,Adelaide,Denpasar,0,9,0,9,0,2637,0,2637,-34.9287,138.5986,-8.6500,115.2167
2003,Adelaide,Hong Kong,0,9,0,9,0,2259,0,2259,-34.9287,138.5986,22.3193,114.1694
2003,Adelaide,Kuala Lumpur,18,18,17,17,4968,4968,4694,4694,-34.9287,138.5986,3.1390,101.6869
2003,Adelaide,Singapore,18,31,17,31,5814,8765,5491,8669,-34.9287,138.5986,1.3521,103.8198
2003,Brisbane,Auckland,48,164,48,164,14130,54202,14254,54337,-27.4679,153.0281,-36.8485,174.7633
2003,Brisbane,Bandar Seri Begawan,0,18,0,17,0,3564,0,3366,-27.4679,153.0281,4.9031,114.9394
2003,Brisbane,Bangkok,0,14,0,14,0,3990,0,3990,-27.4679,153.0281,13.7563,100.5018
2003,Brisbane,Christchurch,57,57,57,57,7958,7958,8095,8095,-27.4679,153.0281,-43.5321,172.6362
2003,Brisbane,Denpasar,5,14,5,14,1465,4102,1465,4102,-27.4679,153.0281,-8.6500,115.2167
2003,Brisbane,Dubai,0,31,0,31,0,11412,0,11412,-27.4679,153.0281,25.2048,55.2708
2003,Brisbane,Dunedin,12,12,12,12,1637,1637,1704,1704,-27.4679,153.0281,-45.8788,170.5028
2003,Brisbane,Hamilton,19,19,20,20,2439,2439,2696,2696,-27.4679,153.0281,-37.7833,175.2833
2003,Brisbane,Hong Kong,18,36,17,34,4426,10107,4197,9484,-27.4679,153.0281,22.3193,114.1694
2003,Brisbane,Honiara,11,13,11,13,1496,1716,1500,1720,-27.4679,153.0281,-9.4456,159.9729
2003,Brisbane,Kuala Lumpur,12,26,12,26,2724,8086,2724,8086,-27.4679,153.0281,3.1390,101.6869
2003,Brisbane,Los Angeles,0,33,0,31,0,14021,0,13315,-27.4679,153.0281,34.0522,-118.2437
2003,Brisbane,Manila,0,5,0,4,0,2194,0,1772,-27.4679,153.0281,14.5995,120.9842
2003,Brisbane,Nadi,31,31,31,31,5138,5138,5138,5138,-27.4679,153.0281,-17.7768,177.4350
2003,Brisbane,Nauru,4,9,3,8,440,990,330,880,-27.4679,153.0281,-0.5228,166.9315
2003,Brisbane,New York,0,1,0,0,0,358,0,0,-27.4679,153.0281,40.7128,-74.0060
2003,Brisbane,Noumea,12,12,12,12,1731,1731,1731,1731,-27.4679,153.0281,-22.2558,166.4505
2003,Brisbane,Osaka,1,32,0,31,414,15153,0,14480,-27.4679,153.0281,34.6937,135.5023
2003,Brisbane,Palmerston,13,13,13,13,1744,1744,1846,1846,-27.4679,153.0281,-40.3552,175.6110
