AIRPORT,Year,Month,INBOUND,OUTBOUND,TOTAL,INBOUND,OUTBOUND,TOTAL,INBOUND,OUTBOUND,Passengers
ADELAIDE,2009,1,259510.00,258122.00,517632.00,25145.00,19968.00,45113.00,284655.00,278090.00,562745.00
ADELAIDE,2009,2,234778.00,232142.00,466920.00,21389.00,14795.00,36184.00,256167.00,246937.00,503104.00
ADELAIDE,2009,3,280441.00,284820.00,565261.00,19466.00,18154.00,37620.00,299907.00,302974.00,602881.00
ADELAIDE,2009,4,274359.00,281163.00,555522.00,20087.00,21353.00,41440.00,294446.00,302516.00,596962.00
ADELAIDE,2009,5,258273.00,258930.00,517203.00,17085.00,19321.00,36406.00,275358.00,278251.00,553609.00
ADELAIDE,2009,6,242263.00,242610.00,484873.00,17680.00,19449.00,37129.00,259943.00,262059.00,522002.00
ADELAIDE,2009,7,269949.00,272217.00,542166.00,24152.00,21200.00,45352.00,294101.00,293417.00,587518.00
ADELAIDE,2009,8,269480.00,269355.00,538835.00,20859.00,19768.00,40627.00,290339.00,289123.00,579462.00
ADELAIDE,2009,9,264127.00,267734.00,531861.00,22039.00,22699.00,44738.00,286166.00,290433.00,576599.00
ADELAIDE,2009,10,284313.00,277153.00,561466.00,26544.00,20496.00,47040.00,310857.00,297649.00,608506.00
ADELAIDE,2009,11,264644.00,266874.00,531518.00,21906.00,21543.00,43449.00,286550.00,288417.00,574967.00
ADELAIDE,2009,12,262735.00,264356.00,527091.00,21402.00,24899.00,46301.00,284137.00,289255.00,573392.00
ADELAIDE,2010,1,260489.00,258574.00,519063.00,26569.00,22236.00,48805.00,287058.00,280810.00,567868.00
ADELAIDE,2010,2,251775.00,248044.00,499819.00,21576.00,16706.00,38282.00,273351.00,264750.00,538101.00
ADELAIDE,2010,3,292054.00,294892.00,586946.00,22086.00,20609.00,42695.00,314140.00,315501.00,629641.00
ADELAIDE,2010,4,290702.00,296008.00,586710.00,22393.00,23027.00,45420.00,313095.00,319035.00,632130.00
ADELAIDE,2010,5,269597.00,272381.00,541978.00,18231.00,21100.00,39331.00,287828.00,293481.00,581309.00
ADELAIDE,2010,6,260162.00,264413.00,524575.00,19742.00,21699.00,41441.00,279904.00,286112.00,566016.00
ADELAIDE,2010,7,293548.00,297128.00,590676.00,25332.00,21846.00,47178.00,318880.00,318974.00,637854.00
ADELAIDE,2010,8,283786.00,283560.00,567346.00,21613.00,21756.00,43369.00,305399.00,305316.00,610715.00
ADELAIDE,2010,9,282205.00,287767.00,569972.00,23201.00,22552.00,45753.00,305406.00,310319.00,615725.00
ADELAIDE,2010,10,313687.00,301158.00,614845.00,27111.00,19830.00,46941.00,340798.00,320988.00,661786.00
ADELAIDE,2010,11,283723.00,284665.00,568388.00,22317.00,21729.00,44046.00,306040.00,306394.00,612434.00
ADELAIDE,2010,12,292916.00,295017.00,587933.00,23166.00,25965.00,49131.00,316082.00,320982.00,637064.00
ADELAIDE,2011,1,275339.00,273902.00,549241.00,26556.00,22938.00,49494.00,301895.00,296840.00,598735.00
ADELAIDE,2011,2,253474.00,247288.00,500762.00,22587.00,17514.00,40101.00,276061.00,264802.00,540863.00
ADELAIDE,2011,3,293734.00,295355.00,589089.00,21787.00,21351.00,43138.00,315521.00,316706.00,632227.00
ADELAIDE,2011,4,282981.00,286574.00,569555.00,22983.00,25799.00,48782.00,305964.00,312373.00,618337.00
ADELAIDE,2011,5,273748.00,274350.00,548098.00,21287.00,24027.00,45314.00,295035.00,298377.00,593412.00
ADELAIDE,2011,6,237077.00,237976.00,475053.00,21671.00,22929.00,44600.00,258748.00,260905.00,519653.00
ADELAIDE,2011,7,273786.00,277032.00,550818.00,28138.00,25253.00,53391.00,301924.00,302285.00,604209.00
ADELAIDE,2011,8,263100.00,263060.00,526160.00,25653.00,24324.00,49977.00,288753.00,287384.00,576137.00
ADELAIDE,2011,9,262527.00,261455.00,523982.00,25906.00,25166.00,51072.00,288433.00,286621.00,575054.00
ADELAIDE,2011,10,278028.00,273082.00,551110.00,28930.00,23095.00,52025.00,306958.00,296177.00,603135.00
ADELAIDE,2011,11,264907.00,266632.00,531539.00,24604.00,23324.00,47928.00,289511.00,289956.00,579467.00
ADELAIDE,2011,12,262361.00,260566.00,522927.00,26035.00,31216.00,57251.00,288396.00,291782.00,580178.00
ADELAIDE,2012,1,258727.00,260757.00,519484.00,34486.00,27251.00,61737.00,293213.00,288008.00,581221.00
ADELAIDE,2012,2,250287.00,241533.00,491820.00,26957.00,20520.00,47477.00,277244.00,262053.00,539297.00
ADELAIDE,2012,3,277032.00,282302.00,559334.00,25746.00,25886.00,51632.00,302778.00,308188.00,610966.00
