AIRPORT,Year,Passengers,Lat,Lon
ADELAIDE,2009,6841747,-34.9285,138.6007
ADELAIDE,2010,7290643,-34.9285,138.6007
ADELAIDE,2011,7021407,-34.9285,138.6007
ADELAIDE,2012,7066892,-34.9285,138.6007
ADELAIDE,2013,7373874,-34.9285,138.6007
ADELAIDE,2014,7698864,-34.9285,138.6007
ADELAIDE,2015,7671169,-34.9285,138.6007
ADELAIDE,2016,7920173,-34.9285,138.6007
ADELAIDE,2017,8111934,-34.9285,138.6007
ADELAIDE,2018,8346303,-34.9285,138.6007
ADELAIDE,2019,8516171,-34.9285,138.6007
ADELAIDE,2020,2589413,-34.9285,138.6007
ADELAIDE,2021,3066795,-34.9285,138.6007
ADELAIDE,2022,6416836,-34.9285,138.6007
ADELAIDE,2023,7997486,-34.9285,138.6007
ADELAIDE,2024,8351636,-34.9285,138.6007
ADELAIDE,2025,4128946,-34.9285,138.6007
BALLINA,2009,318314,-28.87,153.5667
BALLINA,2010,268889,-28.87,153.5667
BALLINA,2011,310499,-28.87,153.5667
BALLINA,2012,346011,-28.87,153.5667
BALLINA,2013,382347,-28.87,153.5667
BALLINA,2014,414195,-28.87,153.5667
BALLINA,2015,454898,-28.87,153.5667
BALLINA,2016,487923,-28.87,153.5667
BALLINA,2017,509579,-28.87,153.5667
BALLINA,2018,538180,-28.87,153.5667
BALLINA,2019,533279,-28.87,153.5667
BALLINA,2020,407277,-28.87,153.5667
BALLINA,2021,524684,-28.87,153.5667
BALLINA,2022,639313,-28.87,153.5667
BALLINA,2023,639180,-28.87,153.5667
BALLINA,2024,628220,-28.87,153.5667
BALLINA,2025,280193,-28.87,153.5667
BRISBANE,2009,18713095,-27.3833,153.1175
BRISBANE,2010,19620448,-27.3833,153.1175
BRISBANE,2011,20333850,-27.3833,153.1175
BRISBANE,2012,21072762,-27.3833,153.1175
BRISBANE,2013,21444838,-27.3833,153.1175
BRISBANE,2014,21947817,-27.3833,153.1175
BRISBANE,2015,22025496,-27.3833,153.1175
BRISBANE,2016,22505596,-27.3833,153.1175
BRISBANE,2017,22949267,-27.3833,153.1175
BRISBANE,2018,23466763,-27.3833,153.1175
BRISBANE,2019,24005706,-27.3833,153.1175
BRISBANE,2020,7775088,-27.3833,153.1175
BRISBANE,2021,7906653,-27.3833,153.1175
BRISBANE,2022,16903780,-27.3833,153.1175
BRISBANE,2023,21188565,-27.3833,153.1175
BRISBANE,2024,23253321,-27.3833,153.1175
BRISBANE,2025,11532708,-27.3833,153.1175
CAIRNS,2009,3538196,-16.8858,145.7553
CAIRNS,2010,3749970,-16.8858,145.7553
CAIRNS,2011,3865169,-16.8858,145.7553
CAIRNS,2012,4080554,-16.8858,145.7553
CAIRNS,2013,4246422,-16.8858,145.7553
CAIRNS,2014,4318309,-16.8858,145.7553
CAIRNS,2015,4521042,-16.8858,145.7553
CAIRNS,2016,4850514,-16.8858,145.7553
CAIRNS,2017,4940484,-16.8858,145.7553
CAIRNS,2018,4945798,-16.8858,145.7553
CAIRNS,2019,4778181,-16.8858,145.7553
CAIRNS,2020,1706515,-16.8858,145.7553
CAIRNS,2021,2314679,-16.8858,145.7553
CAIRNS,2022,3807889,-16.8858,145.7553
CAIRNS,2023,4458783,-16.8858,145.7553
CAIRNS,2024,4696090,-16.8858,145.7553
CAIRNS,2025,2185414,-16.8858,145.7553
CANBERRA,2009,3148420,-35.3069,149.1958
CANBERRA,2010,3304010,-35.3069,149.1958
CANBERRA,2011,3208225,-35.3069,149.1958
CANBERRA,2012,3065893,-35.3069,149.1958
CANBERRA,2013,2956448,-35.3069,149.1958
CANBERRA,2014,2811822,-35.3069,149.1958
CANBERRA,2015,2805306,-35.3069,149.1958
CANBERRA,2016,2909564,-35.3069,149.1958
CANBERRA,2017,3105775,-35.3069,149.1958
CANBERRA,2018,3248065,-35.3069,149.1958
CANBERRA,2019,3238112,-35.3069,149.1958
CANBERRA,2020,908990,-35.3069,149.1958
CANBERRA,2021,1024019,-35.3069,149.1958
CANBERRA,2022,2437607,-35.3069,149.1958
CANBERRA,2023,2769430,-35.3069,149.1958
CANBERRA,2024,2833119,-35.3069,149.1958
CANBERRA,2025,1326446,-35.3069,149.1958
DARWIN,2009,1523693,-12.4259,130.8761
DARWIN,2010,1641931,-12.4259,130.8761
DARWIN,2011,1911716,-12.4259,130.8761
DARWIN,2012,1972596,-12.4259,130.8761
DARWIN,2013,2024138,-12.4259,130.8761
DARWIN,2014,2117132,-12.4259,130.8761
DARWIN,2015,2062046,-12.4259,130.8761
DARWIN,2016,2099773,-12.4259,130.8761
DARWIN,2017,2104408,-12.4259,130.8761
DARWIN,2018,2003832,-12.4259,130.8761
DARWIN,2019,1983490,-12.4259,130.8761
DARWIN,2020,702406,-12.4259,130.8761
DARWIN,2021,1075094,-12.4259,130.8761
DARWIN,2022,1673129,-12.4259,130.8761
DARWIN,2023,1769187,-12.4259,130.8761
DARWIN,2024,1817809,-12.4259,130.8761
DARWIN,2025,874580,-12.4259,130.8761
GOLD COAST,2009,4882768,-28.1672,153.4161
GOLD COAST,2010,5516620,-28.1672,153.4161
GOLD COAST,2011,5297163,-28.1672,153.4161
GOLD COAST,2012,5679309,-28.1672,153.4161
GOLD COAST,2013,5767174,-28.1672,153.4161
GOLD COAST,2014,5828824,-28.1672,153.4161
GOLD COAST,2015,6024358,-28.1672,153.4161
GOLD COAST,2016,6411315,-28.1672,153.4161
GOLD COAST,2017,6479083,-28.1672,153.4161
GOLD COAST,2018,6486382,-28.1672,153.4161
GOLD COAST,2019,6484603,-28.1672,153.4161
GOLD COAST,2020,1722216,-28.1672,153.4161
GOLD COAST,2021,2083056,-28.1672,153.4161
GOLD COAST,2022,5708687,-28.1672,153.4161
GOLD COAST,2023,6230170,-28.1672,153.4161
GOLD COAST,2024,6206216,-28.1672,153.4161
GOLD COAST,2025,2864668,-28.1672,153.4161
HAMILTON ISLAND,2009,456438,-20.35,148.9236
HAMILTON ISLAND,2010,477075,-20.35,148.9236
HAMILTON ISLAND,2011,452428,-20.35,148.9236
HAMILTON ISLAND,2012,440687,-20.35,148.9236
HAMILTON ISLAND,2013,465300,-20.35,148.9236
HAMILTON ISLAND,2014,486505,-20.35,148.9236
HAMILTON ISLAND,2015,486486,-20.35,148.9236
HAMILTON ISLAND,2016,549822,-20.35,148.9236
HAMILTON ISLAND,2017,423551,-20.35,148.9236
HAMILTON ISLAND,2018,427384,-20.35,148.9236
HAMILTON ISLAND,2019,452546,-20.35,148.9236
HAMILTON ISLAND,2020,188772,-20.35,148.9236
HAMILTON ISLAND,2021,327161,-20.35,148.9236
HAMILTON ISLAND,2022,500052,-20.35,148.9236
HAMILTON ISLAND,2023,496591,-20.35,148.9236
HAMILTON ISLAND,2024,488540,-20.35,148.9236
HAMILTON ISLAND,2025,224717,-20.35,148.9236
HOBART,2009,1874459,-42.8333,147.5164
HOBART,2010,1882092,-42.8333,147.5164
HOBART,2011,1844681,-42.8333,147.5164
HOBART,2012,1919026,-42.8333,147.5164
HOBART,2013,2091706,-42.8333,147.5164
HOBART,2014,2127981,-42.8333,147.5164
HOBART,2015,2238432,-42.8333,147.5164
HOBART,2016,2378137,-42.8333,147.5164
HOBART,2017,2510343,-42.8333,147.5164
HOBART,2018,2676628,-42.8333,147.5164
HOBART,2019,2781739,-42.8333,147.5164
HOBART,2020,879663,-42.8333,147.5164
HOBART,2021,1265769,-42.8333,147.5164
HOBART,2022,2303538,-42.8333,147.5164
HOBART,2023,2611429,-42.8333,147.5164
HOBART,2024,2749578,-42.8333,147.5164
HOBART,2025,1444398,-42.8333,147.5164
KARRATHA,2009,539169,-20.737,116.846
KARRATHA,2010,628808,-20.737,116.846
KARRATHA,2011,740311,-20.737,116.846
KARRATHA,2012,818415,-20.737,116.846
KARRATHA,2013,770615,-20.737,116.846
KARRATHA,2014,710368,-20.737,116.846
KARRATHA,2015,607586,-20.737,116.846
KARRATHA,2016,494894,-20.737,116.846
KARRATHA,2017,439047,-20.737,116.846
KARRATHA,2018,441449,-20.737,116.846
KARRATHA,2019,467898,-20.737,116.846
KARRATHA,2020,273171,-20.737,116.846
KARRATHA,2021,422901,-20.737,116.846
KARRATHA,2022,494003,-20.737,116.846
KARRATHA,2023,547080,-20.737,116.846
KARRATHA,2024,615427,-20.737,116.846
KARRATHA,2025,328238,-20.737,116.846
LAUNCESTON,2009,1136374,-41.5333,147.2167
LAUNCESTON,2010,1157967,-41.5333,147.2167
LAUNCESTON,2011,1125614,-41.5333,147.2167
LAUNCESTON,2012,1172273,-41.5333,147.2167
LAUNCESTON,2013,1257145,-41.5333,147.2167
LAUNCESTON,2014,1289182,-41.5333,147.2167
LAUNCESTON,2015,1286408,-41.5333,147.2167
LAUNCESTON,2016,1331025,-41.5333,147.2167
LAUNCESTON,2017,1341222,-41.5333,147.2167
LAUNCESTON,2018,1381741,-41.5333,147.2167
LAUNCESTON,2019,1395304,-41.5333,147.2167
LAUNCESTON,2020,452437,-41.5333,147.2167
LAUNCESTON,2021,622454,-41.5333,147.2167
LAUNCESTON,2022,1165814,-41.5333,147.2167
LAUNCESTON,2023,1365206,-41.5333,147.2167
LAUNCESTON,2024,1418510,-41.5333,147.2167
LAUNCESTON,2025,736892,-41.5333,147.2167
MACKAY,2009,925689,-21.1719,149.1858
MACKAY,2010,983067,-21.1719,149.1858
MACKAY,2011,1082601,-21.1719,149.1858
MACKAY,2012,1126243,-21.1719,149.1858
MACKAY,2013,1102594,-21.1719,149.1858
MACKAY,2014,969963,-21.1719,149.1858
MACKAY,2015,868932,-21.1719,149.1858
MACKAY,2016,767653,-21.1719,149.1858
MACKAY,2017,763003,-21.1719,149.1858
MACKAY,2018,807966,-21.1719,149.1858
MACKAY,2019,840650,-21.1719,149.1858
MACKAY,2020,451244,-21.1719,149.1858
MACKAY,2021,647487,-21.1719,149.1858
MACKAY,2022,824704,-21.1719,149.1858
MACKAY,2023,909384,-21.1719,149.1858
MACKAY,2024,900310,-21.1719,149.1858
MACKAY,2025,437144,-21.1719,149.1858
MELBOURNE,2009,24885570,-37.6733,144.8433
MELBOURNE,2010,27394764,-37.6733,144.8433
MELBOURNE,2011,27667504,-37.6733,144.8433
MELBOURNE,2012,28917592,-37.6733,144.8433
MELBOURNE,2013,30220427,-37.6733,144.8433
MELBOURNE,2014,31386793,-37.6733,144.8433
MELBOURNE,2015,32790213,-37.6733,144.8433
MELBOURNE,2016,34375189,-37.6733,144.8433
MELBOURNE,2017,35559520,-37.6733,144.8433
MELBOURNE,2018,36916629,-37.6733,144.8433
MELBOURNE,2019,37134291,-37.6733,144.8433
MELBOURNE,2020,8897392,-37.6733,144.8433
MELBOURNE,2021,7160276,-37.6733,144.8433
MELBOURNE,2022,25717358,-37.6733,144.8433
MELBOURNE,2023,33232562,-37.6733,144.8433
MELBOURNE,2024,35520012,-37.6733,144.8433
MELBOURNE,2025,17713340,-37.6733,144.8433
NEWCASTLE,2009,1137737,-32.9167,151.7833
NEWCASTLE,2010,1186009,-32.9167,151.7833
NEWCASTLE,2011,1191159,-32.9167,151.7833
NEWCASTLE,2012,1184423,-32.9167,151.7833
NEWCASTLE,2013,1206517,-32.9167,151.7833
NEWCASTLE,2014,1168543,-32.9167,151.7833
NEWCASTLE,2015,1150674,-32.9167,151.7833
NEWCASTLE,2016,1211112,-32.9167,151.7833
NEWCASTLE,2017,1265311,-32.9167,151.7833
NEWCASTLE,2018,1253869,-32.9167,151.7833
NEWCASTLE,2019,1278058,-32.9167,151.7833
NEWCASTLE,2020,385423,-32.9167,151.7833
NEWCASTLE,2021,460324,-32.9167,151.7833
NEWCASTLE,2022,1023312,-32.9167,151.7833
NEWCASTLE,2023,1161196,-32.9167,151.7833
NEWCASTLE,2024,1200119,-32.9167,151.7833
NEWCASTLE,2025,565260,-32.9167,151.7833
PERTH,2009,9615774,-31.9403,115.967
PERTH,2010,10453562,-31.9403,115.967
PERTH,2011,11365500,-31.9403,115.967
PERTH,2012,12618339,-31.9403,115.967
PERTH,2013,12901712,-31.9403,115.967
PERTH,2014,12938926,-31.9403,115.967
PERTH,2015,12594365,-31.9403,115.967
PERTH,2016,12504661,-31.9403,115.967
PERTH,2017,12370532,-31.9403,115.967
PERTH,2018,12477719,-31.9403,115.967
PERTH,2019,12513516,-31.9403,115.967
PERTH,2020,3926078,-31.9403,115.967
PERTH,2021,3944789,-31.9403,115.967
PERTH,2022,8410203,-31.9403,115.967
PERTH,2023,12164496,-31.9403,115.967
PERTH,2024,13582297,-31.9403,115.967
PERTH,2025,7019437,-31.9403,115.967
PROSERPINE,2009,220864,-20.4047,148.58
PROSERPINE,2010,210516,-20.4047,148.58
PROSERPINE,2011,204942,-20.4047,148.58
PROSERPINE,2012,232813,-20.4047,148.58
PROSERPINE,2013,234402,-20.4047,148.58
PROSERPINE,2014,264338,-20.4047,148.58
PROSERPINE,2015,319129,-20.4047,148.58
PROSERPINE,2016,342838,-20.4047,148.58
PROSERPINE,2017,425571,-20.4047,148.58
PROSERPINE,2018,448575,-20.4047,148.58
PROSERPINE,2019,433414,-20.4047,148.58
PROSERPINE,2020,205666,-20.4047,148.58
PROSERPINE,2021,305037,-20.4047,148.58
PROSERPINE,2022,464540,-20.4047,148.58
PROSERPINE,2023,510203,-20.4047,148.58
PROSERPINE,2024,507244,-20.4047,148.58
PROSERPINE,2025,246760,-20.4047,148.58
ROCKHAMPTON,2009,743337,-23.3783,150.505
ROCKHAMPTON,2010,777212,-23.3783,150.505
ROCKHAMPTON,2011,701027,-23.3783,150.505
ROCKHAMPTON,2012,740477,-23.3783,150.505
ROCKHAMPTON,2013,696502,-23.3783,150.505
ROCKHAMPTON,2014,651411,-23.3783,150.505
ROCKHAMPTON,2015,614465,-23.3783,150.505
ROCKHAMPTON,2016,584247,-23.3783,150.505
ROCKHAMPTON,2017,556514,-23.3783,150.505
ROCKHAMPTON,2018,551596,-23.3783,150.505
ROCKHAMPTON,2019,571543,-23.3783,150.505
ROCKHAMPTON,2020,275771,-23.3783,150.505
ROCKHAMPTON,2021,400082,-23.3783,150.505
ROCKHAMPTON,2022,484711,-23.3783,150.505
ROCKHAMPTON,2023,632783,-23.3783,150.505
ROCKHAMPTON,2024,655886,-23.3783,150.505
ROCKHAMPTON,2025,306855,-23.3783,150.505
SUNSHINE COAST,2009,859007,-26.65,153.0667
SUNSHINE COAST,2010,863669,-26.65,153.0667
SUNSHINE COAST,2011,857415,-26.65,153.0667
SUNSHINE COAST,2012,795375,-26.65,153.0667
SUNSHINE COAST,2013,866504,-26.65,153.0667
SUNSHINE COAST,2014,872348,-26.65,153.0667
SUNSHINE COAST,2015,901704,-26.65,153.0667
SUNSHINE COAST,2016,1010258,-26.65,153.0667
SUNSHINE COAST,2017,1126684,-26.65,153.0667
SUNSHINE COAST,2018,1234905,-26.65,153.0667
SUNSHINE COAST,2019,1283036,-26.65,153.0667
SUNSHINE COAST,2020,327378,-26.65,153.0667
SUNSHINE COAST,2021,576711,-26.65,153.0667
SUNSHINE COAST,2022,1493435,-26.65,153.0667
SUNSHINE COAST,2023,1856921,-26.65,153.0667
SUNSHINE COAST,2024,1704797,-26.65,153.0667
SUNSHINE COAST,2025,801084,-26.65,153.0667
